,,Democratic,Working Families,Constitution,Independence,Green,Republican,American,Libertarian,,,,,,,,,,,,,,,,,,,
Precinct,Registered Voters,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total,,,,,,,,,,,,,,,,,,
Zion,1188,48,2,0,2,0,233,2,1,288,,,,,,,,,,,,,,,,,,
Smith Grove,934,44,5,1,7,1,216,1,4,279,,,,,,,,,,,,,,,,,,
Arial Mill,1089,37,4,0,5,3,204,4,2,259,,,,,,,,,,,,,,,,,,
Simpson,1296,177,10,2,5,0,114,2,0,310,,,,,,,,,,,,,,,,,,
Woodside,1499,116,6,1,5,1,235,6,1,371,,,,,,,,,,,,,,,,,,
Brushy Creek,1608,92,3,3,8,2,325,2,4,439,,,,,,,,,,,,,,,,,,
Pickensville,1138,50,4,0,5,4,226,0,0,289,,,,,,,,,,,,,,,,,,
Easley,1304,62,3,0,3,0,229,2,5,304,,,,,,,,,,,,,,,,,,
Forest Acres,1002,60,2,1,2,4,171,2,1,243,,,,,,,,,,,,,,,,,,
Crestview,1170,31,2,0,2,3,251,0,2,291,,,,,,,,,,,,,,,,,,
Sitton,1393,80,1,0,1,2,293,1,4,382,,,,,,,,,,,,,,,,,,
Rock Springs,1213,59,3,0,0,1,251,2,2,318,,,,,,,,,,,,,,,,,,
Saluda,1208,79,5,0,4,2,290,4,1,385,,,,,,,,,,,,,,,,,,
Crosswell,1467,67,3,0,4,2,373,5,2,456,,,,,,,,,,,,,,,,,,
Georges Creek,1076,54,1,1,2,0,259,0,1,318,,,,,,,,,,,,,,,,,,
McKissick,1324,82,1,2,4,0,231,1,3,324,,,,,,,,,,,,,,,,,,
Vinland,1052,26,0,0,2,2,328,1,1,360,,,,,,,,,,,,,,,,,,
Crossroads,1253,25,3,3,2,3,299,2,2,339,,,,,,,,,,,,,,,,,,
Dacusville,1073,36,2,0,4,1,286,1,1,331,,,,,,,,,,,,,,,,,,
Nine Forks,1235,30,9,1,0,1,323,2,0,366,,,,,,,,,,,,,,,,,,
South Central,1246,125,7,0,2,5,147,4,1,291,,,,,,,,,,,,,,,,,,
Crescent Hill,1289,13,1,2,2,2,224,3,3,250,,,,,,,,,,,,,,,,,,
North Liberty,1140,49,3,0,4,1,239,2,3,301,,,,,,,,,,,,,,,,,,
Pendleton,1029,28,2,0,1,1,249,2,1,284,,,,,,,,,,,,,,,,,,
Fruit Mountain,931,43,5,0,2,1,218,4,1,274,,,,,,,,,,,,,,,,,,
Pope Field,984,60,1,0,3,2,143,1,2,212,,,,,,,,,,,,,,,,,,
Sheffield,1384,66,6,0,0,1,233,0,3,309,,,,,,,,,,,,,,,,,,
Tri County,576,34,1,1,2,0,105,0,3,146,,,,,,,,,,,,,,,,,,
McAllister,1168,64,5,1,3,1,191,1,1,267,,,,,,,,,,,,,,,,,,
Lenhart,1039,61,1,1,5,3,230,0,0,301,,,,,,,,,,,,,,,,,,
Ward 1,1998,115,3,0,5,0,81,0,3,207,,,,,,,,,,,,,,,,,,
Ward 2,1148,161,1,0,0,2,26,0,1,191,,,,,,,,,,,,,,,,,,
Ward 3,1670,227,3,1,5,2,81,1,3,323,,,,,,,,,,,,,,,,,,
Ward 4,1619,172,2,0,8,2,67,0,8,259,,,,,,,,,,,,,,,,,,
Ward 5,1502,121,1,0,6,4,96,1,5,234,,,,,,,,,,,,,,,,,,
Ward 6,1450,171,3,1,1,2,91,1,5,275,,,,,,,,,,,,,,,,,,
Ward 7,1405,378,5,0,1,1,2,3,1,391,,,,,,,,,,,,,,,,,,
Ward 8,3494,332,1,0,1,1,5,1,1,342,,,,,,,,,,,,,,,,,,
Ward 9,1493,281,2,0,1,4,5,0,1,294,,,,,,,,,,,,,,,,,,
Ward 10,1622,98,0,0,6,3,84,2,2,195,,,,,,,,,,,,,,,,,,
Ward 11,1575,188,7,0,4,2,66,3,4,274,,,,,,,,,,,,,,,,,,
Ward 12,1685,110,1,0,3,3,72,0,4,193,,,,,,,,,,,,,,,,,,
Ward 13,2155,169,2,1,8,1,107,0,5,293,,,,,,,,,,,,,,,,,,
Ward 14,1645,108,0,0,3,4,88,0,7,210,,,,,,,,,,,,,,,,,,
Ward 15,1092,60,0,0,1,1,75,0,1,138,,,,,,,,,,,,,,,,,,
Ward 16,1359,42,0,0,2,0,113,1,0,158,,,,,,,,,,,,,,,,,,
Ward 17,1668,88,1,1,4,2,115,2,3,216,,,,,,,,,,,,,,,,,,
Ward 18,1578,366,2,1,5,4,29,1,2,410,,,,,,,,,,,,,,,,,,
Ward 19,1609,470,1,0,3,3,4,1,0,482,,,,,,,,,,,,,,,,,,
Ward 20,2050,359,5,1,8,1,64,2,1,441,,,,,,,,,,,,,,,,,,
Ward 21,1907,541,8,1,2,2,7,3,0,564,,,,,,,,,,,,,,,,,,
Ward 22,1809,520,10,2,3,0,15,5,1,556,,,,,,,,,,,,,,,,,,
Ward 23,1118,96,1,0,1,3,71,1,2,175,,,,,,,,,,,,,,,,,,
Ward 24,973,44,1,0,3,1,94,1,1,145,,,,,,,,,,,,,,,,,,
Ward 25,1652,61,2,0,6,3,168,0,2,242,,,,,,,,,,,,,,,,,,
Ward 26,2243,224,7,0,7,3,95,1,6,343,,,,,,,,,,,,,,,,,,
Ward 29,1598,408,6,1,0,1,15,2,3,436,,,,,,,,,,,,,,,,,,
Ward 30,1200,113,1,1,4,3,56,2,1,181,,,,,,,,,,,,,,,,,,
Ward 31,1258,295,2,0,3,2,5,2,0,309,,,,,,,,,,,,,,,,,,
Ward 32,1076,293,2,1,3,0,3,2,0,304,,,,,,,,,,,,,,,,,,
Ward 33,1236,199,3,0,2,2,40,3,5,254,,,,,,,,,,,,,,,,,,
Ward 34,1302,129,1,0,0,0,72,1,2,205,,,,,,,,,,,,,,,,,,
Arcadia,1686,167,2,0,9,1,110,1,2,292,,,,,,,,,,,,,,,,,,
Ardincaple,445,163,0,0,0,0,3,1,1,168,,,,,,,,,,,,,,,,,,
Ballentine 1,1478,88,5,0,5,0,161,1,6,266,,,,,,,,,,,,,,,,,,
Ballentine 2,1835,63,3,0,10,1,262,3,1,343,,,,,,,,,,,,,,,,,,
Beatty Road,1217,245,4,0,1,2,16,1,0,269,,,,,,,,,,,,,,,,,,
Bluff,2251,667,4,0,3,0,10,1,0,685,,,,,,,,,,,,,,,,,,
Blythewood 1,1573,92,3,0,5,3,225,2,4,334,,,,,,,,,,,,,,,,,,
Blythewood 2,2157,265,5,0,9,0,248,0,4,531,,,,,,,,,,,,,,,,,,
Blythewood 3,2115,267,6,2,7,1,227,2,3,515,,,,,,,,,,,,,,,,,,
Bookman,2820,381,5,1,10,3,212,3,5,620,,,,,,,,,,,,,,,,,,
Brandon 1,2062,377,6,1,8,3,94,4,2,495,,,,,,,,,,,,,,,,,,
Brandon 2,2485,426,7,2,13,4,69,4,6,531,,,,,,,,,,,,,,,,,,
Briarwood,2971,476,8,1,5,5,104,4,4,607,,,,,,,,,,,,,,,,,,
Bridge Creek,2324,375,8,0,5,2,83,1,4,478,,,,,,,,,,,,,,,,,,
Caughman Road,2046,354,2,0,5,1,103,2,2,469,,,,,,,,,,,,,,,,,,
College Place,1815,524,6,2,4,1,11,4,0,552,,,,,,,,,,,,,,,,,,
Cooper,1263,51,1,0,4,2,109,0,3,170,,,,,,,,,,,,,,,,,,
Dennyside,1439,210,5,0,7,2,99,1,6,330,,,,,,,,,,,,,,,,,,
Dentsville,2537,578,5,0,3,1,31,0,0,618,,,,,,,,,,,,,,,,,,
Dutch Fork 1,1239,63,2,0,6,0,184,1,0,256,,,,,,,,,,,,,,,,,,
Dutch Fork 2,1425,107,1,0,2,1,143,1,12,267,,,,,,,,,,,,,,,,,,
Dutch Fork 3,1959,103,5,0,5,1,288,3,6,411,,,,,,,,,,,,,,,,,,
Dutch Fork 4,1886,114,4,3,0,1,223,0,5,350,,,,,,,,,,,,,,,,,,
Eastover,1470,444,8,2,2,1,28,3,0,488,,,,,,,,,,,,,,,,,,
Edgewood,2203,554,10,0,1,3,9,6,2,585,,,,,,,,,,,,,,,,,,
Estates,2326,318,6,0,3,1,176,1,4,509,,,,,,,,,,,,,,,,,,
Fairlawn,3130,585,10,1,8,4,90,5,6,709,,,,,,,,,,,,,,,,,,
Fairwold,969,271,4,0,0,1,4,0,0,280,,,,,,,,,,,,,,,,,,
East Forest Acres,1315,37,0,0,5,1,117,0,3,163,,,,,,,,,,,,,,,,,,
North Forest Acres,1526,140,3,2,2,0,106,1,2,256,,,,,,,,,,,,,,,,,,
South Forest Acres,1709,94,1,0,1,2,111,1,1,211,,,,,,,,,,,,,,,,,,
Friarsgate 1,1685,251,3,1,5,1,158,2,7,428,,,,,,,,,,,,,,,,,,
Friarsgate 2,1546,169,3,1,4,2,161,0,3,343,,,,,,,,,,,,,,,,,,
Old Friarsgate,1461,193,2,2,5,1,118,0,4,325,,,,,,,,,,,,,,,,,,
Gadsden,1583,445,4,1,0,1,17,0,1,469,,,,,,,,,,,,,,,,,,
Garners,1013,188,4,2,2,1,71,2,2,272,,,,,,,,,,,,,,,,,,
Greenview,1883,557,4,0,4,3,0,4,0,572,,,,,,,,,,,,,,,,,,
Gregg Park,2231,264,2,0,9,3,132,4,2,416,,,,,,,,,,,,,,,,,,
Hampton,1950,243,6,3,9,3,109,3,6,382,,,,,,,,,,,,,,,,,,
Harbison 1,2583,372,8,0,9,4,134,1,4,532,,,,,,,,,,,,,,,,,,
Harbison 2,1452,228,3,0,4,2,98,0,7,342,,,,,,,,,,,,,,,,,,
Hopkins 1,1537,352,2,0,1,1,36,4,0,396,,,,,,,,,,,,,,,,,,
Hopkins 2,1799,347,5,1,0,1,35,0,2,391,,,,,,,,,,,,,,,,,,
Horrell Hill,2492,333,13,2,5,2,222,4,5,586,,,,,,,,,,,,,,,,,,
Hunting Creek,518,50,1,0,1,1,57,2,0,112,,,,,,,,,,,,,,,,,,
Keels 1,2313,373,9,0,6,3,38,1,2,432,,,,,,,,,,,,,,,,,,
Keels 2,1797,320,5,0,5,0,27,2,3,362,,,,,,,,,,,,,,,,,,
Keenan,1950,293,4,1,3,3,85,2,2,393,,,,,,,,,,,,,,,,,,
Kelly Mill,1896,263,6,0,11,4,179,0,5,468,,,,,,,,,,,,,,,,,,
Killian,1940,315,9,0,7,3,140,2,6,482,,,,,,,,,,,,,,,,,,
Kingswood,3144,745,11,0,5,3,68,3,1,836,,,,,,,,,,,,,,,,,,
Lake Carolina,3014,295,3,0,15,2,289,1,6,611,,,,,,,,,,,,,,,,,,
Lincolnshire,2378,750,12,0,3,4,9,1,0,779,,,,,,,,,,,,,,,,,,
Longcreek,4351,315,6,3,10,6,418,6,3,767,,,,,,,,,,,,,,,,,,
Longleaf,1773,401,5,0,6,2,44,3,0,461,,,,,,,,,,,,,,,,,,
Lykesland,2027,330,4,0,2,1,119,1,2,459,,,,,,,,,,,,,,,,,,
Mallet Hill,2960,402,1,0,6,2,132,7,5,555,,,,,,,,,,,,,,,,,,
Meadowfield,1884,143,3,0,1,1,170,2,1,321,,,,,,,,,,,,,,,,,,
Meadowlake,2415,618,5,1,3,2,10,4,1,644,,,,,,,,,,,,,,,,,,
McEntire,940,138,3,0,1,3,67,1,0,213,,,,,,,,,,,,,,,,,,
Midway,3157,584,11,0,6,2,88,0,2,693,,,,,,,,,,,,,,,,,,
Mill Creek,1350,256,1,0,7,2,63,0,3,332,,,,,,,,,,,,,,,,,,
Monticello,1890,353,2,0,4,3,168,3,2,535,,,,,,,,,,,,,,,,,,
North Springs 1,1437,166,3,0,5,0,73,0,1,248,,,,,,,,,,,,,,,,,,
North Springs 2,3138,329,9,1,7,0,171,3,7,527,,,,,,,,,,,,,,,,,,
North Springs 3,2154,442,7,1,4,6,84,4,3,551,,,,,,,,,,,,,,,,,,
Oak Pointe 1,1382,129,2,0,5,2,160,0,2,300,,,,,,,,,,,,,,,,,,
Oak Pointe 2,792,74,4,1,1,1,97,3,1,182,,,,,,,,,,,,,,,,,,
Oak Pointe 3,1144,142,5,0,3,4,97,0,5,256,,,,,,,,,,,,,,,,,,
Oakwood,1056,102,2,1,0,0,87,0,2,194,,,,,,,,,,,,,,,,,,
Olympia,2634,339,12,0,13,5,128,2,8,507,,,,,,,,,,,,,,,,,,
Parkridge 1,923,111,2,0,2,1,69,0,3,188,,,,,,,,,,,,,,,,,,
Parkridge 2,1158,148,2,0,6,1,65,1,3,226,,,,,,,,,,,,,,,,,,
Parkway 1,2541,488,7,1,9,2,85,2,5,599,,,,,,,,,,,,,,,,,,
Parkway 2,2611,384,12,0,9,2,111,1,4,523,,,,,,,,,,,,,,,,,,
Parkway 3,2031,418,5,0,0,3,40,1,3,470,,,,,,,,,,,,,,,,,,
Pennington 1,1015,26,0,0,5,1,133,0,0,165,,,,,,,,,,,,,,,,,,
Pennington 2,1575,105,0,0,5,4,140,0,1,255,,,,,,,,,,,,,,,,,,
Pine Grove,1883,464,3,0,1,5,40,3,5,521,,,,,,,,,,,,,,,,,,
Pine Lakes 1,1236,271,6,1,2,2,17,2,3,304,,,,,,,,,,,,,,,,,,
Pine Lakes 2,1742,330,6,0,3,2,24,2,1,368,,,,,,,,,,,,,,,,,,
Pinewood,2018,407,7,1,1,5,55,2,1,479,,,,,,,,,,,,,,,,,,
Polo Road,2714,387,8,0,5,6,117,0,2,525,,,,,,,,,,,,,,,,,,
Pontiac 1,2553,291,7,1,4,6,201,1,0,511,,,,,,,,,,,,,,,,,,
Pontiac 2,1311,112,2,0,5,3,140,1,2,265,,,,,,,,,,,,,,,,,,
Rice Creek 1,1893,384,1,0,8,1,54,1,4,453,,,,,,,,,,,,,,,,,,
Rice Creek 2,2905,471,3,1,8,6,102,2,2,595,,,,,,,,,,,,,,,,,,
Ridge View 1,2552,364,6,0,5,2,116,0,3,496,,,,,,,,,,,,,,,,,,
Ridge View 2,3174,457,7,1,8,3,114,2,8,600,,,,,,,,,,,,,,,,,,
Ridgewood,774,245,5,0,0,1,3,3,0,257,,,,,,,,,,,,,,,,,,
Riverside,1577,241,2,1,4,5,61,1,1,316,,,,,,,,,,,,,,,,,,
Riversprings 1,1254,44,1,0,3,2,156,1,1,208,,,,,,,,,,,,,,,,,,
Riversprings 2,1585,189,6,0,5,1,154,0,4,359,,,,,,,,,,,,,,,,,,
Riversprings 3,1540,123,1,0,2,2,161,1,3,293,,,,,,,,,,,,,,,,,,
Riverwalk,3024,414,10,1,7,1,199,3,8,643,,,,,,,,,,,,,,,,,,
Round Top,758,167,5,0,1,1,53,0,1,228,,,,,,,,,,,,,,,,,,
St. Andrews,1394,283,5,0,5,1,67,3,2,366,,,,,,,,,,,,,,,,,,
Sandlapper,2620,538,3,1,12,2,98,2,8,664,,,,,,,,,,,,,,,,,,
Satchelford,1464,73,1,0,1,0,154,1,0,230,,,,,,,,,,,,,,,,,,
Skyland,1388,189,3,0,7,2,53,2,4,260,,,,,,,,,,,,,,,,,,
South Beltline,1781,230,4,0,6,3,80,2,1,326,,,,,,,,,,,,,,,,,,
Spring Hill,2044,52,5,1,3,0,333,3,2,399,,,,,,,,,,,,,,,,,,
Spring Valley,2866,274,6,1,6,2,186,3,3,481,,,,,,,,,,,,,,,,,,
Spring Valley West,3042,541,15,1,8,6,113,6,6,696,,,,,,,,,,,,,,,,,,
Springville 1,1857,55,3,0,8,2,288,0,2,358,,,,,,,,,,,,,,,,,,
Springville 2,1721,37,1,0,10,2,251,3,3,307,,,,,,,,,,,,,,,,,,
Trenholm Road,1123,61,3,1,3,1,114,0,3,186,,,,,,,,,,,,,,,,,,
Trinity,1317,206,3,0,2,4,82,1,2,300,,,,,,,,,,,,,,,,,,
Valhalla,2596,279,5,1,13,0,201,2,3,504,,,,,,,,,,,,,,,,,,
Valley State Park,3038,570,15,1,10,4,76,1,2,679,,,,,,,,,,,,,,,,,,
Walden,1299,259,7,0,5,0,20,1,4,296,,,,,,,,,,,,,,,,,,
Webber,1220,261,5,1,6,3,75,0,3,354,,,,,,,,,,,,,,,,,,
Westminster,2187,390,8,2,3,1,61,7,2,474,,,,,,,,,,,,,,,,,,
Whitewell,2224,468,10,0,7,4,42,3,4,538,,,,,,,,,,,,,,,,,,
Wildewood,3109,205,0,0,6,1,209,3,5,429,,,,,,,,,,,,,,,,,,
Woodfield,2991,516,13,0,11,3,154,2,5,704,,,,,,,,,,,,,,,,,,
Woodlands,2305,64,1,2,5,1,203,1,3,280,,,,,,,,,,,,,,,,,,
CENTENNIAL,481,40,0,0,3,1,56,0,2,102,,,,,,,,,,,,,,,,,,
CLYDE,241,7,0,0,3,1,34,1,0,46,,,,,,,,,,,,,,,,,,
DELMAR,402,10,1,0,3,2,79,1,1,97,,,,,,,,,,,,,,,,,,
FRUIT HILL,718,210,3,0,4,1,34,1,1,254,,,,,,,,,,,,,,,,,,
HIGGINS-ZOAR,665,115,1,1,3,0,28,2,0,150,,,,,,,,,,,,,,,,,,
HOLLY,925,23,3,0,3,0,211,4,1,245,,,,,,,,,,,,,,,,,,
HOLLYWOOD,1209,39,7,2,6,0,166,2,0,222,,,,,,,,,,,,,,,,,,
HOLSTONS,889,141,5,0,4,1,128,1,3,283,,,,,,,,,,,,,,,,,,
MAYSON,392,41,5,0,0,1,63,1,0,111,,,,,,,,,,,,,,,,,,
MT. WILLING,236,16,0,0,1,0,33,1,0,51,,,,,,,,,,,,,,,,,,
PLEASANT CROSS,208,54,0,0,0,0,24,0,0,78,,,,,,,,,,,,,,,,,,
PLEASANT GROVE,667,21,0,0,0,0,112,1,0,134,,,,,,,,,,,,,,,,,,
RICHLAND,570,44,3,0,2,0,97,1,1,148,,,,,,,,,,,,,,,,,,
RIDGE SPRING - MONETTA,832,203,3,1,3,2,70,2,0,284,,,,,,,,,,,,,,,,,,
SALUDA NO. 1,1246,344,4,2,3,0,37,2,2,394,,,,,,,,,,,,,,,,,,
SALUDA NO. 2,1138,152,3,0,5,0,81,7,1,249,,,,,,,,,,,,,,,,,,
SARDIS,506,5,3,1,4,2,60,2,0,77,,,,,,,,,,,,,,,,,,
WARD,438,93,3,0,2,1,57,1,1,158,,,,,,,,,,,,,,,,,,
Woodruff Leisure Center,1266,90,6,1,7,2,194,5,1,306,,,,,,,,,,,,,,,,,,
Arcadia Elementary,1001,120,3,0,9,4,88,4,1,229,,,,,,,,,,,,,,,,,,
Rebirth Missionary Baptist,3114,194,5,1,11,4,608,5,4,832,,,,,,,,,,,,,,,,,,
Friendship Baptist,3690,178,12,4,17,4,758,6,7,986,,,,,,,,,,,,,,,,,,
Morningside Baptist,1999,108,0,0,2,1,254,0,4,369,,,,,,,,,,,,,,,,,,
Boiling Springs 9th Grade,3685,222,14,1,14,6,474,3,9,743,,,,,,,,,,,,,,,,,,
Gable Middle School,2975,168,6,2,8,2,486,2,5,679,,,,,,,,,,,,,,,,,,
Lake Bowen Baptist,3815,101,9,0,12,1,738,5,4,870,,,,,,,,,,,,,,,,,,
Cooley Springs Baptist,2228,155,12,0,7,4,431,10,4,623,,,,,,,,,,,,,,,,,,
Landrum High School,2365,91,4,1,7,5,476,5,3,592,,,,,,,,,,,,,,,,,,
Hendrix Elementary,3509,394,18,2,24,8,385,5,7,843,,,,,,,,,,,,,,,,,,
Cannons Elementary,1112,92,5,1,4,1,163,5,0,271,,,,,,,,,,,,,,,,,,
Cavins Hobbysville,894,42,1,0,1,1,213,2,3,263,,,,,,,,,,,,,,,,,,
E.P. Todd Elementary,2180,273,8,0,2,2,256,1,2,544,,,,,,,,,,,,,,,,,,
Cherokee Springs Fire Station,1587,87,10,1,4,6,268,5,1,382,,,,,,,,,,,,,,,,,,
Clifdale Elementary,843,44,2,0,3,0,120,1,3,173,,,,,,,,,,,,,,,,,,
Converse Fire Station,1144,102,3,0,1,2,200,1,4,313,,,,,,,,,,,,,,,,,,
Cowpens Fire Station,1665,97,8,4,6,1,370,3,3,492,,,,,,,,,,,,,,,,,,
Woodruff Fire Station,1113,58,7,1,4,0,291,2,5,368,,,,,,,,,,,,,,,,,,
Cross Anchor Fire Station,752,60,2,0,4,0,179,1,1,247,,,,,,,,,,,,,,,,,,
Fairforest Elementary,2439,120,7,0,5,0,379,4,4,519,,,,,,,,,,,,,,,,,,
Abner Creek Baptist,1255,65,5,1,5,2,332,4,0,414,,,,,,,,,,,,,,,,,,
Dayton Fire Station,1327,153,7,1,7,1,109,2,2,282,,,,,,,,,,,,,,,,,,
Cedar Grove Baptist,1261,412,3,0,3,2,52,3,1,476,,,,,,,,,,,,,,,,,,
Enoree First Baptist,1263,86,8,0,8,1,295,3,1,402,,,,,,,,,,,,,,,,,,
Fairforest Middle School,2640,218,5,1,7,4,321,4,5,565,,,,,,,,,,,,,,,,,,
Travelers Rest Baptist,2987,334,9,1,9,1,375,2,3,734,,,,,,,,,,,,,,,,,,
Glendale Fire Station,1388,45,2,1,3,1,325,1,3,381,,,,,,,,,,,,,,,,,,
Gramling Methodist,1374,30,1,0,3,2,347,3,2,388,,,,,,,,,,,,,,,,,,
Hayne Baptist,1450,232,8,2,6,4,118,5,4,379,,,,,,,,,,,,,,,,,,
Holly Springs Baptist,2703,69,8,2,15,4,623,11,3,735,,,,,,,,,,,,,,,,,,
Chapman High School,2734,221,5,0,2,4,366,6,4,608,,,,,,,,,,,,,,,,,,
Landrum United Methodist,2841,155,5,1,4,4,566,2,2,739,,,,,,,,,,,,,,,,,,
Lyman Town Hall,3206,204,6,1,7,2,627,10,4,861,,,,,,,,,,,,,,,,,,
Mayo Elementary,1711,51,11,0,6,0,337,3,6,414,,,,,,,,,,,,,,,,,,
Motlow Creek Baptist,984,32,2,0,3,0,255,1,4,297,,,,,,,,,,,,,,,,,,
R.D. Anderson Vocational,1558,56,0,0,3,1,366,1,5,432,,,,,,,,,,,,,,,,,,
Swofford Career Center,2949,104,6,1,9,3,546,9,3,681,,,,,,,,,,,,,,,,,,
Pauline Glenn Springs Elementary,1002,38,3,0,2,1,236,2,2,284,,,,,,,,,,,,,,,,,,
Pelham Fire Station,1578,124,2,0,3,3,330,4,4,470,,,,,,,,,,,,,,,,,,
Poplar Springs Fire Station,2444,124,4,0,7,1,402,3,5,546,,,,,,,,,,,,,,,,,,
Reidville Elementary,2803,151,2,4,7,2,640,1,5,812,,,,,,,,,,,,,,,,,,
Roebuck Elementary,2788,349,15,0,9,2,269,2,3,649,,,,,,,,,,,,,,,,,,
Mt. Moriah Baptist,1386,322,11,1,3,1,37,2,2,379,,,,,,,,,,,,,,,,,,
C.C. Woodson Recreation,1382,449,3,1,1,1,12,1,0,468,,,,,,,,,,,,,,,,,,
St. John's Lutheran,1382,44,0,0,3,0,142,0,2,191,,,,,,,,,,,,,,,,,,
Trinity Methodist,1643,81,2,0,3,2,156,1,4,249,,,,,,,,,,,,,,,,,,
Southside Baptist,1190,229,5,1,4,1,34,4,1,279,,,,,,,,,,,,,,,,,,
Spartanburg High School,2315,176,4,0,4,3,234,0,3,424,,,,,,,,,,,,,,,,,,
Cornerstone Baptist,1470,252,3,0,1,2,117,0,2,377,,,,,,,,,,,,,,,,,,
Woodland Heights Recreation Center,1996,308,11,0,2,4,153,3,1,482,,,,,,,,,,,,,,,,,,
Holy Communion,1913,339,13,0,4,3,119,4,3,485,,,,,,,,,,,,,,,,,,
Beaumont Methodist,652,80,1,0,1,0,74,2,4,162,,,,,,,,,,,,,,,,,,
Cleveland Elementary,1540,361,6,1,5,1,35,5,0,414,,,,,,,,,,,,,,,,,,
Ebenezer Baptist,806,287,5,0,2,2,5,0,0,301,,,,,,,,,,,,,,,,,,
Startex Fire Station,960,146,3,1,3,3,120,4,3,283,,,,,,,,,,,,,,,,,,
Victor Mill Methodist,1727,199,10,1,7,3,276,4,4,504,,,,,,,,,,,,,,,,,,
Mt. Calvary Presbyterian,2515,48,9,2,9,3,592,8,2,673,,,,,,,,,,,,,,,,,,
Wellford Fire Station,2530,257,12,2,7,2,284,2,4,570,,,,,,,,,,,,,,,,,,
West View Elementary,4197,275,6,3,18,0,525,3,10,840,,,,,,,,,,,,,,,,,,
Croft Baptist,1191,203,3,0,3,1,141,2,1,354,,,,,,,,,,,,,,,,,,
Whitlock Jr. High,1562,111,6,1,3,4,199,1,5,330,,,,,,,,,,,,,,,,,,
Bethany Baptist,1473,262,10,2,3,3,97,5,4,386,,,,,,,,,,,,,,,,,,
Eastside Baptist,1447,113,0,0,2,1,213,3,1,333,,,,,,,,,,,,,,,,,,
Mt. Zion Gospel Baptist,824,134,2,1,1,1,71,2,0,212,,,,,,,,,,,,,,,,,,
Jesse Bobo Elementary,1975,409,6,1,8,2,86,2,4,518,,,,,,,,,,,,,,,,,,
White Stone Methodist,884,120,2,1,3,0,140,4,1,271,,,,,,,,,,,,,,,,,,
Cudd Memorial,1330,180,6,1,7,1,136,1,3,335,,,,,,,,,,,,,,,,,,
Oakland Elementary,2119,77,8,2,9,1,354,7,1,459,,,,,,,,,,,,,,,,,,
Boiling Springs Intermediate,3224,205,7,3,7,1,373,7,4,607,,,,,,,,,,,,,,,,,,
Carlisle Fosters Grove,1934,68,5,1,9,0,377,4,3,467,,,,,,,,,,,,,,,,,,
Cowpens Depot Museum,1125,141,4,1,3,0,215,3,1,368,,,,,,,,,,,,,,,,,,
Beech Springs Intermediate,1798,180,12,1,8,2,332,9,6,550,,,,,,,,,,,,,,,,,,
Greater St. James,2259,139,11,0,8,6,325,5,5,499,,,,,,,,,,,,,,,,,,
Bethany Wesleyan,2541,143,9,1,10,3,529,4,4,703,,,,,,,,,,,,,,,,,,
Reidville Fire Station,2737,198,5,2,10,1,556,5,5,782,,,,,,,,,,,,,,,,,,
Roebuck Bethlehem,1426,159,4,0,2,1,147,1,0,314,,,,,,,,,,,,,,,,,,
Jesse Boyd Elementary,1567,190,3,1,7,1,116,1,3,322,,,,,,,,,,,,,,,,,,
Anderson Mill Elementary,4099,323,10,1,19,4,448,1,7,813,,,,,,,,,,,,,,,,,,
Daniel Morgan Technology Center,1280,56,2,1,4,2,183,2,5,255,,,,,,,,,,,,,,,,,,
Boiling Springs Elementary,3251,209,12,0,14,2,433,6,4,680,,,,,,,,,,,,,,,,,,
Boling Springs Jr. High,1072,35,3,0,1,1,163,0,1,204,,,,,,,,,,,,,,,,,,
Chapman Elementary,1720,138,3,1,6,4,187,2,3,344,,,,,,,,,,,,,,,,,,
Mountain View Baptist,1186,43,5,0,1,0,204,3,2,258,,,,,,,,,,,,,,,,,,
Boiling Springs High School,1289,74,5,0,4,3,188,0,0,274,,,,,,,,,,,,,,,,,,
Ben Avon Methodist,1377,58,1,0,3,1,210,2,1,276,,,,,,,,,,,,,,,,,,
Pacolet Elementary,2064,205,4,2,7,3,417,5,1,644,,,,,,,,,,,,,,,,,,
Chesnee Elementary,2804,207,13,2,11,2,509,6,3,753,,,,,,,,,,,,,,,,,,
Park Hills Elementary,1494,476,6,1,3,1,52,2,2,543,,,,,,,,,,,,,,,,,,
Canaan,1039,106,6,0,6,1,171,0,7,297,,,,,,,,,,,,,,,,,,
Powell Saxon Una,1687,347,5,1,13,1,85,5,0,457,,,,,,,,,,,,,,,,,,
Woodruff Elementary,2354,237,8,2,10,2,328,4,5,596,,,,,,,,,,,,,,,,,,
Duncan United Methodist,1331,216,11,2,9,2,213,1,1,455,,,,,,,,,,,,,,,,,,
River Ridge Elementary,1859,151,3,1,5,2,341,1,7,511,,,,,,,,,,,,,,,,,,
REMBERT,2013,599,4,0,0,2,63,2,1,671,,,,,,,,,,,,,,,,,,
HORATIO,550,163,2,0,0,0,16,1,0,182,,,,,,,,,,,,,,,,,,
HILLCREST,1018,150,4,1,2,2,73,1,2,235,,,,,,,,,,,,,,,,,,
OAKLAND PLANTATION 1,1314,132,2,2,6,1,140,3,0,286,,,,,,,,,,,,,,,,,,
